1754	6	4933
10826	4	4616
8247	6	11041
2546	3	2063
13979	6	12750
6628	6	9452
13186	3	14356
4955	6	5081
1754	3	11651
1754	6	8378
4308	3	3099
11913	3	13300
1533	3	12128
10216	6	5079
11341	3	1644
5863	3	13923
6964	6	7031
12939	0	703
6939	4	13214
1045	4	2652
2546	6	4776
14450	6	1714
5879	3	2736
14680	6	1174
4801	3	4955
11341	4	12633
10216	6	5082
3192	6	5753
11970	6	9469
4955	6	12919
5879	3	8862
6625	4	5776
7504	6	9911
14241	6	2359
4859	4	6529
11341	6	4344
1526	3	4177
12607	0	2996
4955	6	11447
14680	6	13879
10216	6	2914
1754	6	8869
13871	3	12873
3287	6	3510
13474	6	11889
14362	0	5228
4859	6	2534
10895	0	846
6325	6	13388
5863	6	10182
11913	4	1685
5863	3	11945
10826	4	10858
2546	3	7649
5863	4	10584
5882	6	12128
7946	6	7970
5886	4	9917
7489	0	5745
5863	4	8332
6610	6	9084
5863	4	2562
11341	4	14022
13186	4	5400
1145	0	851
14450	3	1215
11341	3	5743
2546	6	10052
4955	6	5087
11970	6	10826
11771	6	13042
6939	6	4738
6610	4	13131
5879	3	1228
14085	4	5444
9235	3	12986
13871	4	8511
11341	3	5567
6608	3	11215
7946	6	7856
1533	6	9361
10216	4	7061
3871	4	1892
1754	6	8996
10207	6	2555
10826	6	2158
5879	3	14383
7071	3	9121
14241	6	9272
14241	6	7904
4955	6	6567
10216	6	7745
3871	6	3830
4955	6	11855
6610	6	9790
10216	6	2686
3871	3	5409
5863	3	1337
5879	6	1717
11341	4	10686
5863	4	7408
4955	4	2813
10207	6	5272
10040	4	6797
14450	4	13652
11970	6	2914
6939	6	13183
7504	6	9983
2425	4	11679
5863	6	6124
3192	3	5623
9837	6	13215
11970	6	6575
10040	6	13027
11970	4	4054
14241	4	7759
1754	6	1352
1754	6	14565
9121	6	14571
6939	4	4678
6608	3	11025
10216	4	7657
7946	6	9443
4467	4	1397
14085	6	12669
13871	4	1581
6610	6	7461
6939	4	8245
10216	6	11819
4467	3	10920
1045	3	13858
9235	6	11985
7504	6	7042
3287	4	9540
11341	6	4719
6610	6	5145
7895	6	11863
4955	3	7504
10037	6	4804
13044	4	14450
2425	3	2869
9235	6	6121
5863	6	3183
6608	4	13727
2583	4	5231
4955	6	9026
5863	3	5178
1406	6	10155
10166	3	5111
14450	6	12323
2546	6	12263
2817	0	665
6325	3	3650
7895	4	2764
5863	3	6628
4467	3	3845
10826	6	5512
3192	3	10562
2128	6	12332
4308	3	3135
5863	4	6515
3871	6	6398
3568	6	1315
6625	3	10000
5863	6	10634
1754	6	9745
7895	6	9158
12690	0	12675
5863	4	2928
3871	3	14014
8247	3	12963
3192	3	8140
9644	5	2203
14241	3	1480
13979	4	5481
14241	6	5434
7946	4	8296
7071	4	14680
10826	6	1581
13474	6	10969
4308	3	5935
11341	3	12246
9235	6	11795
13350	6	6474
2546	3	1034
6608	6	9324
5863	6	10734
1754	3	1580
5879	6	6135
3871	3	955
3408	0	468
13186	6	6575
11341	3	10115
8678	4	10001
2546	4	10386
5863	6	12046
11341	6	8430
1754	3	11913
2425	4	5475
11341	4	5430
11913	4	1883
2546	4	6079
2425	4	6999
4467	4	10779
9646	6	5231
13350	6	11174
6610	6	1452
7383	0	516
11341	3	4049
4977	3	6610
6939	6	6774
5879	4	12418
5869	6	10094
10826	3	12545
7895	6	7767
5863	4	14296
13486	3	2484
5863	6	3292
5954	6	2851
3987	6	5939
7946	4	7497
13044	4	3888
6939	6	4966
3192	4	11889
13871	4	5285
11341	3	9572
3192	6	10747
2546	3	1480
4955	3	6778
2546	6	6113
5863	3	8375
5863	3	4880
5863	6	2549
10207	3	1340
10017	4	7584
2128	3	3650
5863	6	9167
13871	6	11086
3192	6	14134
5863	6	3461
13486	6	5430
3192	4	12242
1539	3	5879
1754	6	9214
3987	4	2871
9235	3	1726
11341	3	2402
3871	6	4022
5879	6	12601
13871	3	12429
10040	6	4438
13474	6	9182
5863	3	7763
1045	6	9523
5863	6	5500
4748	0	850
2546	4	7666
7895	3	10166
7946	6	13255
6608	4	7416
9719	4	13300
4955	3	12184
3192	6	2942
3987	6	10473
5869	3	8110
10216	3	13327
11913	4	8090
1526	6	9022
2425	4	5670
6939	6	2937
7895	6	5979
6939	6	10601
9235	6	9608
3192	6	2717
3987	4	3987
13350	6	5179
5863	4	8770
14680	6	12185
4859	4	5696
10166	6	10720
3192	3	8294
3192	3	1352
7895	4	6697
9235	6	13366
13474	4	1409
11341	6	14450
5882	6	10693
14680	6	13751
3408	0	199
13871	6	6274
10216	4	13548
3871	6	7183
6939	4	9199
14450	3	9221
6325	4	6565
5879	4	4308
5863	4	7530
14085	6	12551
4955	6	7177
3871	3	11682
5863	6	8598
6325	4	13391
4955	3	3956
5954	4	13391
10216	6	13019
2546	4	13346
